id,encuestador,archivo_origen,pregunta_num,pregunta_origen,texto,num_palabras,etiqueta,pos_score,neg_score,evidencia_pos,evidencia_neg
texto_0021,abraham,pregunta1_estudiante022.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"siento que hay un buen balance entre la escuela y la casa, aunque hay días que la jornada escolar se siente demasiado larga y agotadora.",25,mixto,1,3,buen,"demasiado, larga, agotadora"
texto_0022,abraham,pregunta1_estudiante023.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"en la escuela me me siento bien alegre con mis amigas, pero en la casa el tiempo libre se reduce mucho cuando se juntan varios talleres.",26,placentero,1,0,bien,
texto_0023,abraham,pregunta1_estudiante024.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"la verdad me da pereza levantarme temprano para el colegio, pero allá la paso bien, y en mi casa uso mi tiempo libre para dormir o estar en redes.",29,placentero,1,0,bien,
texto_0025,abraham,pregunta1_estudiante026.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,a veces frustrado porque siento que pasamos casi todo el día enfocados en el colegio y en la casa el tiempo libre se va rápido en deberes.,27,desagradable,0,1,,frustrado
texto_0026,abraham,pregunta1_estudiante027.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"super bien en el colegio compartiendo con el grupo, y en casa me gusta tener mi espacio tranquilo para descansar y hablar con mi familia.",25,placentero,3,0,"bien, gusta, tranquilo",
texto_0027,abraham,pregunta1_estudiante028.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"me siento bien en la escuela, me divierto mucho en las pausas pero en la casa a veces siento que no desconecto del todo por el estudio.",27,placentero,1,0,bien,
texto_0028,abraham,pregunta1_estudiante029.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"en el colegio la paso chévere porque no me aburro, en la casa a veces me da flojera cuando sé que tengo que ponerme a hacer guías de estudio.",29,mixto,1,2,chévere,"aburro, flojera"
texto_0029,abraham,pregunta1_estudiante030.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"me siento normal, el tiempo en el colegio es ameno con mis amigos y el tiempo libre en mi casa me alcanza si me organizo bien.",26,placentero,2,0,"organizo, bien",
texto_0030,abraham,pregunta1_estudiante031.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"bien en la escuela me distraigo de los problemas de la casa, y cuando llego me gusta tener tiempo para ver series o descansar tranquilo.",25,mixto,3,1,"bien, gusta, tranquilo",problemas
texto_0031,abraham,pregunta1_estudiante032.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"a veces agotada de la rutina escolar pero feliz de estar con mis compañeros, en la casa quisiera tener más tiempo libre para salir.",24,mixto,1,3,feliz,"quisiera, agotada"
texto_0032,abraham,pregunta1_estudiante033.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"me siento a gusto en el colegio pero a veces cansado mentalmente, en mi casa trato de desconectarme un rato antes de ponerme a estudiar.",25,mixto,1,1,gusto,cansado
texto_0033,abraham,pregunta1_estudiante034.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"en el colegio me siento activada y me entretengo bastante, y en mi casa me gusta usar el tiempo libre para compartir con mis papás y hermanos.",27,placentero,1,0,gusta,
texto_0034,abraham,pregunta2_estudiante001.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","bueno pues no me gusta acumular tareas pero aja que se puede hacer, a veces el volumen de trabajos y exámenes en la misma semana es bastante alto.",28,mixto,1,1,gusta,alto
texto_0035,abraham,pregunta2_estudiante002.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",opino que a veces acumulan muchas tareas para la misma fecha y al momento de hacerlas se nos hace muy difícil rendir en todas.,24,desagradable,0,2,,"acumulan, difícil"
texto_0036,abraham,pregunta2_estudiante003.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","me estreso con ese poco de tareas y talleres que dejan seguidos, especialmente cuando se juntan con los exámenes parciales.",20,desagradable,0,1,,poco
texto_0037,abraham,pregunta2_estudiante004.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",opino que es mejor hacer las tareas el mismo día que las ponen porque si acumulamos todo se nos hace más difícil entregar a tiempo.,25,desagradable,0,1,,difícil
texto_0038,abraham,pregunta2_estudiante005.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",bien para ganar notas pero a veces dejan demasiadas actividades juntas en distintas asignaturas para la misma semana.,18,mixto,1,1,bien,demasiadas
texto_0039,abraham,pregunta2_estudiante006.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","mucha tarea ya que en momentos tenemos trabajos acumulados y al mismo tiempo proyectos, exposiciones y evaluaciones, es mucho compromiso.",20,desagradable,0,1,,acumulados
texto_0040,abraham,pregunta2_estudiante007.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","diría que está bien porque los proyectos ayudan a afianzar conocimientos y los exámenes son necesarios, pero deberían escalonar las fechas.",21,mixto,2,2,"bien, necesarios",deberían escalonar
texto_0042,abraham,pregunta2_estudiante009.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",bien pero a veces siento que dejan muchos trabajos en distintas áreas para el mismo día y en los exámenes evalúan temas que no se terminaron de explicar.,28,placentero,1,0,bien,
texto_0043,abraham,pregunta2_estudiante010.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","normal con las tareas, pero a veces dejan bastante volumen en algunas materias y no alcanza el tiempo para preparar bien las evaluaciones.",23,mixto,1,2,bien,no alcanza
texto_0044,abraham,pregunta2_estudiante011.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","siento que dejan mucha tarea y a veces se vuelve pesado, deberían coordinar mejor entre profesores para no cargarnos la misma semana.",22,desagradable,0,3,,"deberían coordinar, pesado"
texto_0045,abraham,pregunta2_estudiante012.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","son demasiadas actividades pero están reguladas a su manera, aunque todo depende bastante del profesor y de la materia.",19,desagradable,0,1,,demasiadas
texto_0047,abraham,pregunta2_estudiante014.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",mi opinión es que me parece bien la exigencia porque así aprendemos a ser más responsables y preparados para las pruebas del ICFES.,23,mixto,1,1,bien,exigencia
texto_0048,abraham,pregunta2_estudiante015.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","me parece un poco excesivo la verdad, se cruzan las entregas de proyectos con semanas de evaluaciones y uno se siente saturado.",22,desagradable,0,2,,"poco, excesivo"
texto_0049,abraham,pregunta2_estudiante016.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","las tareas me parecen bien si son cortas, pero cuando mandan trabajos grupales largos y exámenes seguidos nos cuesta organizarnos.",20,placentero,1,0,bien,
texto_0050,abraham,pregunta2_estudiante017.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","siento que el volumen de tareas es alto en materias como ciencias y matemáticas, pero con buena disciplina se puede sacar adelante.",22,mixto,1,1,buena,alto
texto_0051,abraham,pregunta2_estudiante018.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","a veces hay semanas tranquilas y otras semanas con sobrecarga de exposiciones y evaluaciones, debería ser más constante y moderado.",20,desagradable,0,3,,"debería ser, sobrecarga"
texto_0052,abraham,pregunta2_estudiante019.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",pienso que los exámenes están bien planteados pero el número de talleres semanales le quita tiempo a la preparación de las evaluaciones.,22,mixto,1,1,bien,quita
texto_0053,abraham,pregunta2_estudiante020.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","me estresa cuando dejan guías largas para el fin de semana, creo que el fin de semana debería ser para descansar y repasar poco.",24,desagradable,0,3,,"debería ser, poco"
texto_0054,abraham,pregunta2_estudiante021.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","algunos profesores cargan mucho de tareas mientras otros son más comprensivos, falta un poco de equilibrio en la carga académica.",20,mixto,1,1,equilibrio,poco
texto_0055,abraham,pregunta2_estudiante022.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","me parece aceptable aunque pesado, comprendo que en décimo sube el nivel académico por los proyectos pero a veces es demasiado.",21,mixto,1,2,aceptable,"pesado, demasiado"
texto_0056,abraham,pregunta2_estudiante023.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","deberían darnos más tiempo para los proyectos finales, porque hacerlos a la par de las evaluaciones semanales produce mucho estrés.",20,desagradable,0,3,,"deberían darnos, estrés"
texto_0057,abraham,pregunta2_estudiante024.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","opino que hay un exceso de trabajos escritos que no aportan tanto, preferiría más talleres prácticos y repasos guiados en clase.",21,desagradable,0,2,,no aportan
texto_0058,abraham,pregunta2_estudiante025.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","siento que la cantidad de tareas es adecuada si no te dejas acumular, el problema es cuando varios profesores piden entregas el mismo día.",24,mixto,1,1,adecuada,problema
texto_0059,abraham,pregunta2_estudiante026.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","para mí el volumen es bastante alto, me cuesta balancear las guías de estudio con la preparación de los exámentes de período.",22,desagradable,0,1,,alto
texto_0060,abraham,pregunta2_estudiante027.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","me parece bien que nos exijan porque ya vamos a pasar a undécimo, pero a veces la carga mental es muy pesada.",22,mixto,1,1,bien,pesada
texto_0061,abraham,pregunta2_estudiante028.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","opino que los proyectos integradores son interesantes pero requieren demasiado tiempo, y al sumarle evaluaciones individuales abruma.",17,mixto,1,1,interesantes,demasiado
texto_0062,abraham,pregunta2_estudiante029.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","a veces dejan actividades muy largas de un día para otro y eso hace que nos desvelemos, debería haber más margen para entregar.",23,desagradable,0,2,,debería haber
texto_0063,abraham,pregunta2_estudiante030.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","me parece que está regular, algunas materias tienen la carga justa y otras exageran un poco con talleres de muchas páginas.",21,desagradable,0,2,,"exageran, poco"
texto_0064,abraham,pregunta2_estudiante031.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","pienso que está bien para mantener el ritmo académico, pero podrían bajarle un poco a las tareas para enfocarnos en los exámentes.",22,mixto,1,1,bien,poco
texto_0065,abraham,pregunta2_estudiante032.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","se siente la presión por ser grado décimo, hay bastantes evaluaciones y proyectos simultáneos que requieren mucho esfuerzo.",18,desagradable,0,1,,presión
texto_0066,abraham,pregunta2_estudiante033.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","opino que la carga de tareas es pesada pero necesaria para sacar buenas notas, aunque a veces no da tiempo de repasar bien.",23,mixto,3,1,"necesaria, buenas, bien",pesada
texto_0067,abraham,pregunta2_estudiante034.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","a veces es estresante por la acumulación de guías y trabajos, pero si uno consulta con tiempo y trabaja en equipo se maneja mejor.",24,desagradable,0,2,,"estresante, acumulación"
texto_0068,eberto,ESTUDIANTES_EBERTO_001.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,El horario me parece adecuado porque todavía tengo tiempo para descansar y compartir con mi familia.,16,placentero,1,0,adecuado,
texto_0069,eberto,ESTUDIANTES_EBERTO_001.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",La carga académica influye en mi bienestar porque a veces debo sacrificar horas de descanso.,15,desagradable,0,1,,sacrificar
texto_0070,eberto,ESTUDIANTES_EBERTO_002.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"Paso gran parte del día en la institución y normalmente llego muy cansado a casa, por lo que casi no puedo realizar otras actividades.",24,desagradable,0,5,,"no puedo, casi no puedo, cansado"
texto_0071,eberto,ESTUDIANTES_EBERTO_002.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","Cuando coinciden tareas, proyectos y evaluaciones en la misma semana siento mucho estrés.",13,desagradable,0,1,,estrés
texto_0072,eberto,ESTUDIANTES_EBERTO_003.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"Considero que el tiempo en el colegio es suficiente para aprender, aunque algunos días las jornadas son muy largas.",19,placentero,1,0,aprender,
texto_0073,eberto,ESTUDIANTES_EBERTO_003.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","Las actividades fortalecen mi aprendizaje, pero algunas semanas son demasiado exigentes.",11,mixto,1,2,fortalecen,"demasiado, exigentes"
texto_0074,eberto,ESTUDIANTES_EBERTO_004.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,Me gustaría que algunas actividades fueran mejor distribuidas para aprovechar más mi tiempo libre.,14,desagradable,0,2,,me gustaría
texto_0076,eberto,ESTUDIANTES_EBERTO_005.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,En general estoy conforme con el tiempo que paso en el colegio porque puedo organizar mis responsabilidades.,17,placentero,1,0,conforme,
texto_0077,eberto,ESTUDIANTES_EBERTO_005.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",Pienso que los profesores deberían coordinar mejor las fechas de entrega.,11,desagradable,0,2,,deberían coordinar
texto_0078,eberto,ESTUDIANTES_EBERTO_006.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,El horario me parece adecuado porque todavía tengo tiempo para descansar y compartir con mi familia.,16,placentero,1,0,adecuado,
texto_0079,eberto,ESTUDIANTES_EBERTO_006.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",La carga académica influye en mi bienestar porque a veces debo sacrificar horas de descanso.,15,desagradable,0,1,,sacrificar
texto_0080,eberto,ESTUDIANTES_EBERTO_007.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"Paso gran parte del día en la institución y normalmente llego muy cansado a casa, por lo que casi no puedo realizar otras actividades.",24,desagradable,0,5,,"no puedo, casi no puedo, cansado"
texto_0081,eberto,ESTUDIANTES_EBERTO_007.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","Cuando coinciden tareas, proyectos y evaluaciones en la misma semana siento mucho estrés.",13,desagradable,0,1,,estrés
texto_0082,eberto,ESTUDIANTES_EBERTO_008.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"Considero que el tiempo en el colegio es suficiente para aprender, aunque algunos días las jornadas son muy largas.",19,placentero,1,0,aprender,
texto_0083,eberto,ESTUDIANTES_EBERTO_008.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","Las actividades fortalecen mi aprendizaje, pero algunas semanas son demasiado exigentes.",11,mixto,1,2,fortalecen,"demasiado, exigentes"
texto_0084,eberto,ESTUDIANTES_EBERTO_009.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,Me gustaría que algunas actividades fueran mejor distribuidas para aprovechar más mi tiempo libre.,14,desagradable,0,2,,me gustaría
texto_0085,eberto,ESTUDIANTES_EBERTO_009.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",La carga académica es equilibrada y me ayuda a aprender sin sentir demasiada presión.,14,mixto,2,2,"equilibrada, aprender","demasiada, presión"
texto_0086,eberto,ESTUDIANTES_EBERTO_010.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,En general estoy conforme con el tiempo que paso en el colegio porque puedo organizar mis responsabilidades.,17,placentero,1,0,conforme,
texto_0087,eberto,ESTUDIANTES_EBERTO_010.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",Pienso que los profesores deberían coordinar mejor las fechas de entrega.,11,desagradable,0,2,,deberían coordinar
texto_0088,eberto,ESTUDIANTES_EBERTO_011.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,El horario me parece adecuado porque todavía tengo tiempo para descansar y compartir con mi familia.,16,placentero,1,0,adecuado,
texto_0089,eberto,ESTUDIANTES_EBERTO_011.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",La carga académica influye en mi bienestar porque a veces debo sacrificar horas de descanso.,15,desagradable,0,1,,sacrificar
texto_0090,eberto,ESTUDIANTES_EBERTO_012.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"Paso gran parte del día en la institución y normalmente llego muy cansado a casa, por lo que casi no puedo realizar otras actividades.",24,desagradable,0,5,,"no puedo, casi no puedo, cansado"
texto_0091,eberto,ESTUDIANTES_EBERTO_012.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","Cuando coinciden tareas, proyectos y evaluaciones en la misma semana siento mucho estrés.",13,desagradable,0,1,,estrés
texto_0092,eberto,ESTUDIANTES_EBERTO_013.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"Considero que el tiempo en el colegio es suficiente para aprender, aunque algunos días las jornadas son muy largas.",19,placentero,1,0,aprender,
texto_0093,eberto,ESTUDIANTES_EBERTO_013.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","Las actividades fortalecen mi aprendizaje, pero algunas semanas son demasiado exigentes.",11,mixto,1,2,fortalecen,"demasiado, exigentes"
texto_0094,eberto,ESTUDIANTES_EBERTO_014.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,Me gustaría que algunas actividades fueran mejor distribuidas para aprovechar más mi tiempo libre.,14,desagradable,0,2,,me gustaría
texto_0095,eberto,ESTUDIANTES_EBERTO_014.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",La carga académica es equilibrada y me ayuda a aprender sin sentir demasiada presión.,14,mixto,2,2,"equilibrada, aprender","demasiada, presión"
texto_0096,eberto,ESTUDIANTES_EBERTO_015.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,En general estoy conforme con el tiempo que paso en el colegio porque puedo organizar mis responsabilidades.,17,placentero,1,0,conforme,
texto_0097,eberto,ESTUDIANTES_EBERTO_015.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",Pienso que los profesores deberían coordinar mejor las fechas de entrega.,11,desagradable,0,2,,deberían coordinar
texto_0099,eberto,ESTUDIANTES_EBERTO_016.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?",La carga académica influye en mi bienestar porque a veces debo sacrificar horas de descanso.,15,desagradable,0,1,,sacrificar
texto_0100,eberto,ESTUDIANTES_EBERTO_017.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"Paso gran parte del día en la institución y normalmente llego muy cansado a casa, por lo que casi no puedo realizar otras actividades.",24,desagradable,0,5,,"no puedo, casi no puedo, cansado"
texto_0101,eberto,ESTUDIANTES_EBERTO_017.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","Cuando coinciden tareas, proyectos y evaluaciones en la misma semana siento mucho estrés.",13,desagradable,0,1,,estrés
texto_0102,eberto,ESTUDIANTES_EBERTO_018.txt,1,¿Cómo te sientes respecto al tiempo que pasas en la escuela y el tiempo libre que te queda en casa?,"Considero que el tiempo en el colegio es suficiente para aprender, aunque algunos días las jornadas son muy largas.",19,placentero,1,0,aprender,
texto_0103,eberto,ESTUDIANTES_EBERTO_018.txt,2,"¿Qué opinión tienes sobre el volumen de tareas, proyectos y evaluaciones académicas que recibes?","Las actividades fortalecen mi aprendizaje, pero algunas semanas son demasiado exigentes.",11,mixto,1,2,fortalecen,"demasiado, exigentes"
